"
                    Barritas Redonda de Ternera para Perro
                400 Gr.",4.99 €,https://www.petsonic.com/15277-cart_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpghttps://www.petsonic.com/15276-cart_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg
"
                    Barritas Redonda de Ternera para Perro
                900 Gr.",8.99 €,https://www.petsonic.com/15277-cart_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpghttps://www.petsonic.com/15276-cart_default/hobbit-alf-barritas-redonda-ternera-para-perros.jpg
"
                    Barritas Redonda de Cordero para Perro
                400 Gr.",4.99 €,https://www.petsonic.com/15278-cart_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpghttps://www.petsonic.com/15279-cart_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg
"
                    Barritas Redonda de Cordero para Perro
                900 Gr.",8.99 €,https://www.petsonic.com/15278-cart_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpghttps://www.petsonic.com/15279-cart_default/hobbit-alf-barritas-redonda-cordero-para-perros.jpg
"
                    Barritas Redonda de Pollo para Perro
                400 Gr.",4.99 €,https://www.petsonic.com/15281-cart_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpghttps://www.petsonic.com/15280-cart_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg
"
                    Barritas Redonda de Pollo para Perro
                900 Gr.",8.49 €,https://www.petsonic.com/15281-cart_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpghttps://www.petsonic.com/15280-cart_default/hobbit-alf-barritas-redonda-pollo-para-perros.jpg
"
                    Mini Huesitos Tiernos Mix para Perros
                500 Gr.",3.99 €,https://www.petsonic.com/15886-cart_default/hobbit-alf-mini-huesitos-tiernos-mix-para-perros.jpg
"
                    Hueso Piel Sabor Barbacoa para Perro
                13 cm",1.99 €,https://www.petsonic.com/14023-cart_default/hobbit-alf-hueso-piel-sabor-barbacoa-para-perros.jpg
"
                    Hueso de Piel Sabor Chocolate para Perro
                13 cm",1.99 €,https://www.petsonic.com/14024-cart_default/hobbit-alf-hueso-piel-sabor-chocolate-para-perros.jpg
"
                    Hueso Piel con Fluor para Perro
                13 cm",1.89 €,https://www.petsonic.com/14022-cart_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg
"
                    Hueso Piel con Fluor para Perro
                25 cm",5.99 €,https://www.petsonic.com/14022-cart_default/hobbit-alf-hueso-piel-fluor-para-perros.jpg
"
                    Nudillo de Ternera Calcio para Perro
                2 Unidades",0.99 €,https://www.petsonic.com/14025-cart_default/hobbit-alf-nudillo-ternera-calcio-para-perros.jpg
"
                    Nudillo de Ternera Ahumado para Perro
                2 Unidades",0.79 €,https://www.petsonic.com/14026-cart_default/hobbit-alf-nudillo-ternera-ahumado-para-perros.jpg
"
                    Cañailla de Jamón para Perro
                2 Unidades",0.99 €,https://www.petsonic.com/14027-cart_default/hobbit-alf-canailla-jamon-para-perros.jpg
"
                    Hueso Jamón para Perro
                Talla Unica",1.39 €,https://www.petsonic.com/14036-cart_default/hobbit-alf-hueso-jamon-para-perros.jpg
"
                    Hueso de Calcio Corto para Perro
                1 Unidad.",1.49 €,https://www.petsonic.com/14037-cart_default/hobbit-alf-hueso-calcio-corto-para-perros.jpg
"
                    Hueso Ternera con Calcio 
                1 Unidad.",2.99 €,https://www.petsonic.com/14038-cart_default/hobbit-alf-hueso-ternera-calcio-para-perros.jpg
"
                    Rosco Piel Fluor para Perro
                1 Unidad.",1.99 €,https://www.petsonic.com/14035-cart_default/hobbit-alf-rosco-piel-fluor-para-perros.jpg
"
                    Hueso Ternera Ahumado para Perro
                1 Unidad.",2.99 €,https://www.petsonic.com/9578-cart_default/hobbit-alf-hueso-ternera-ahumado-para-perros.jpg
"
                    Orejas de Cerda Extra para Perro
                5 Unidades.",7.99 €,https://www.petsonic.com/14041-cart_default/hobbit-alf-orejas-cerda-extra-para-perros.jpg
"
                    Orejas de Cerda Extra para Perro
                25 Unidades",29.25 €,https://www.petsonic.com/14041-cart_default/hobbit-alf-orejas-cerda-extra-para-perros.jpg
"
                    Oreja de Vaca Deshidratada para Perro
                1 Unidad.",0.99 €,https://www.petsonic.com/14043-cart_default/hobbit-alf-oreja-vaca-deshidratada-para-perros.jpg
"
                    Pezuña de Ternera Rellena para Perro
                1 Unidad.",1.49 €,https://www.petsonic.com/8214-cart_default/hobbit-alf-pezuna-ternera-rellena-para-perros.jpg
"
                    Zapato Piel Masticable para Perro (10 unidades)
                12 cm",6.90 €,https://www.petsonic.com/14044-cart_default/trixie-zapato-piel-masticable-10-unidades-para-perros.jpg
"
                    Oreja de Cerdo
                1 Unidad.",1.49 €,https://www.petsonic.com/14042-cart_default/hobbit-alf-oreja-cerdo-para-perros.jpg
"
                    Tendón de Cuero para Perro
                100 Gr.",2.99 €,https://www.petsonic.com/14029-cart_default/hobbit-alf-tendon-cuero-para-perros.jpg
"
                    Tendón de Cuero para Perro
                1 Kg.",12.99 €,https://www.petsonic.com/14029-cart_default/hobbit-alf-tendon-cuero-para-perros.jpg
